Unit,PLV_Ctrl,Z_Ctrl,p_Ctrl,PLV_ACh,Z_ACh,p_ACh
64,0.10321017274067254,1.0545816359587872,0.348338128973249,0.14471202739647046,2.3454559377980435,0.09580351172902024
65,0.097095883912968,0.6599327470988391,0.5168860954122859,0.14793941850908243,2.0135185824901005,0.13351805291052388
66,0.12789944945220824,0.572539420956229,0.5640911534470046,0.09211448292641813,0.6024405355008978,0.5474738749036707
67,0.0770954199218863,0.356622226375919,0.700036903266686,0.15318854493460715,2.604807063209219,0.07391739720727153
68,0.14966699993134583,0.7840073803957315,0.4565726799238219,0.056357894095486694,0.101638791260099,0.9033557927523467
70,0.13601963315140966,0.5180375368740338,0.5956884181995311,0.061310704796432636,0.2781661866750128,0.757170979330507
71,0.09568319361184968,0.7415771567207797,0.47636202518289866,0.1707776992269189,2.712347097451318,0.06638082147344715
72,0.23845853997086558,2.274499011401476,0.10284842141700683,0.2431456561144369,3.8427876556758,0.021433768021406265
73,0.03127153779514144,0.07921063516190974,0.92384530964307,0.06252965119202816,0.4809247452181952,0.618211439319392
74,0.044387049899536644,0.2009614402759635,0.8179439706395715,0.15411663470013295,2.6602169542249534,0.06993304782850202
75,0.18879681910404322,3.3149142180538482,0.03633716551642517,0.15908797681588593,2.58151640547193,0.07565918698510903
76,0.06239534978691528,0.29198847562736313,0.746777142061829,0.213267214935609,3.729598207244082,0.02400247792127244
77,0.09245243181297803,0.6154165546656014,0.5404157357208549,0.15683322957171825,2.3366828803000512,0.09664769908352068
78,0.07959266408295833,0.48779439753834364,0.6139790956800073,0.29084438091201453,7.4439599439121835,0.000584964179686544
79,0.12598205695003145,0.8729313270348533,0.41772526344548766,0.20473510350698326,2.724570069520985,0.06557438908701191
81,0.29653964945909567,4.74853123987146,0.008664411804611796,0.23002131963911127,3.068768834334055,0.04647834218577927
84,0.11759751017669298,1.0648464287813204,0.3447807991092491,0.046330951069296,0.21250914567156456,0.8085529215281745
85,0.058726014283614555,0.355220709624848,0.7010187045577514,0.19756349629258735,5.3472929042271105,0.004761022112718884
86,0.14502606736772874,2.1032560216148997,0.12205835589349633,0.09050059009502348,0.9828428169056955,0.37424567323719277
87,0.06998781159179189,0.2987959200558977,0.7417107622813515,0.06156709986007166,0.24638300603670232,0.7816228013372803
88,0.10759054632808446,0.6135134599363115,0.5414451773108626,0.27997063118801135,4.624629705340995,0.009807285949132735
89,0.2863708787780379,2.3782401261510646,0.09271359825730725,0.18919847109868482,1.8255991347700735,0.16112108196339348
91,0.03639715882893709,0.11260401951960423,0.8935044003759709,0.23478642787822504,5.677840671729148,0.003420937400574729
92,0.21075640894291814,1.46580270904698,0.23089257750970382,0.05615610745049429,0.157675420199573,0.8541269693425855
93,0.0524821115698193,0.17077106615927157,0.8430145459396049,0.15686223585990336,1.6485859896108528,0.19232166127203562
94,0.09581388780415309,0.5783589690572507,0.5608179314205569,0.16285518100621796,2.0421793685037373,0.12974563897239502
95,0.10284512008165471,0.9942491601133377,0.3700011518970889,0.1996897603191683,6.499788061341282,0.001503757863631719
96,0.06081605500204427,0.1664366645705253,0.8466764398532507,0.09809157534815552,0.5195856863312751,0.5947669169930588
98,0.060484961028196824,0.30730816288892904,0.735423935619544,0.09601338855761041,0.7743599457144326,0.46099875081664926
99,0.1619155284721099,0.6816325973704686,0.50579056559067,0.10302935645321529,0.45644707652003885,0.6335305371470036
101,0.10867031513297663,0.6613172939016252,0.5161709376204401,0.11229507094229099,1.4123404912886266,0.2435725361008333
103,0.2573909662080784,2.385003941479013,0.09208861661321613,0.12657403993730634,1.4579098703306246,0.23272218629006336
104,0.07682836507018598,0.1534675396633021,0.857728605906293,0.1496700969303135,1.0080512061808247,0.3649294593321669
107,0.08344660265024562,0.41780012963207874,0.6584938286767051,0.13652666881531242,1.379325316037644,0.2517483463467417
108,0.23805250369072017,3.003456709211278,0.04961526605642027,0.07443318182801952,0.34903880909370993,0.705365755133065
112,0.10909957736624225,0.8331902447044874,0.43466039901810377,0.19135149105592372,2.9292314503460206,0.053438092194403986
113,0.1614622234669648,1.8770435716965175,0.15304189497652226,0.1519175545515423,1.8232365270927453,0.16150219790506476
115,0.14744558421163365,0.869608012140398,0.4191158053598032,0.10545757423126934,0.9008252969822383,0.4062342574496321
117,0.05790266768366599,0.3889153952866667,0.6777916119532668,0.11606772330442647,2.1420029064985915,0.1174194272087312
118,0.06187201360061596,0.26414207862264166,0.767864434784885,0.17530523199549342,2.642945495389464,0.07115138452536288
120,0.16324018285425498,2.558146300635898,0.07744817309093345,0.06036386024546767,0.320654014888623,0.7256742800580863
121,0.12130834333932439,0.8829428498238845,0.4135640621881375,0.04859346477546647,0.22432585779402756,0.7990547137352977
123,0.13730560100705985,1.5082262454327933,0.2213021657613524,0.09230221738160162,0.8775290313567253,0.41580909456084203
